journey_id,customer_id,product_id,visit_date,stage,action,duration_seconds
1,6013,3,2024-05-28,Home Page,View,110
2,12073,7,2024-05-06,Home Page,View,62
3,12073,7,2024-05-06,Product Page,Click,164
4,12073,7,2024-05-06,Application Form,Sign Up,113
5,21430,7,2023-06-13,Home Page,View,74
6,21430,7,2023-06-13,Product Page,Click,172
7,21430,7,2023-06-13,Application Form,Drop Off,31
8,10793,5,2024-09-16,Home Page,View,54
9,10793,5,2024-09-16,Product Page,Click,156
10,10793,5,2024-09-16,Application Form,Sign Up,81
11,15209,2,2024-04-08,Home Page,View,100
12,15209,2,2024-04-08,Product Page,Click,119
13,15209,2,2024-04-08,Application Form,Sign Up,86
14,15549,6,2024-11-28,Home Page,View,54
15,7629,9,2023-09-06,Home Page,View,67
16,7629,9,2023-09-06,Product Page,Click,113
17,7629,9,2023-09-06,Application Form,Sign Up,105
18,23815,4,2025-11-12,Home Page,View,63
19,1435,7,2024-09-17,Home Page,View,58
20,3625,9,2023-08-31,Home Page,View,119
21,17928,6,2023-05-04,Home Page,View,74
22,17928,6,2023-05-04,Product Page,Click,49
23,17928,6,2023-05-04,Application Form,Drop Off,72
24,1034,7,2025-11-27,Home Page,View,102
25,1034,7,2025-11-27,Product Page,Click,76
26,1034,7,2025-11-27,Checkout,Purchase,159
27,9699,3,2023-05-05,Home Page,View,43
28,9699,3,2023-05-05,Product Page,Click,61
29,9699,3,2023-05-05,Application Form,Sign Up,290
30,16102,8,2025-11-14,Home Page,View,73
31,16102,8,2025-11-14,Product Page,Click,90
32,16102,8,2025-11-14,Application Form,Drop Off,54
33,23897,2,2024-11-19,Home Page,View,38
34,23897,2,2024-11-19,Product Page,Click,88
35,23897,2,2024-11-19,Checkout,Purchase,559
36,19391,3,2023-04-02,Home Page,View,79
37,2430,4,2025-01-07,Home Page,View,16
38,2430,4,2025-01-07,Product Page,Click,87
39,2430,4,2025-01-07,Application Form,Sign Up,71
40,14287,9,2024-05-09,Home Page,View,53
41,14287,9,2024-05-09,Product Page,Click,132
42,14287,9,2024-05-09,Checkout,Purchase,363
43,1394,1,2025-10-30,Home Page,View,44
44,4750,3,2025-03-19,Home Page,View,39
45,4750,3,2025-03-19,Product Page,Click,164
46,4750,3,2025-03-19,Application Form,Drop Off,32
47,7696,1,2023-08-30,Home Page,View,96
48,7696,1,2023-08-30,Product Page,Click,88
49,7696,1,2023-08-30,Application Form,Sign Up,74
50,16263,5,2023-11-02,Home Page,View,23
51,3590,8,2023-06-18,Home Page,View,58
52,4333,8,2023-12-10,Home Page,View,47
53,4333,8,2023-12-10,Product Page,Click,99
54,4333,8,2023-12-10,Application Form,Drop Off,65
55,20120,7,2025-10-26,Home Page,View,119
56,9434,7,2024-10-04,Home Page,View,90
57,9434,7,2024-10-04,Product Page,Click,110
58,9434,7,2024-10-04,Application Form,Drop Off,28
59,559,7,2023-12-05,Home Page,View,92
60,559,7,2023-12-05,Product Page,Click,30
61,559,7,2023-12-05,Application Form,Drop Off,92
62,22072,5,2024-04-05,Home Page,View,28
63,12448,6,2023-10-30,Home Page,View,26
64,12448,6,2023-10-30,Product Page,Click,112
65,12448,6,2023-10-30,Application Form,Sign Up,237
66,1060,4,2025-03-30,Home Page,View,75
67,19250,5,2024-03-04,Home Page,View,85
68,1581,7,2025-10-22,Home Page,View,47
69,20397,6,2023-12-11,Home Page,View,107
70,20397,6,2023-12-11,Product Page,Click,115
71,20397,6,2023-12-11,Application Form,Sign Up,198
72,7332,2,2025-02-28,Home Page,View,51
73,7332,2,2025-02-28,Product Page,Click,41
74,7332,2,2025-02-28,Checkout,Purchase,331
75,17392,6,2024-01-03,Home Page,View,50
76,11763,9,2023-01-05,Home Page,View,19
77,7681,8,2023-10-19,Home Page,View,34
78,7681,8,2023-10-19,Product Page,Click,67
79,7681,8,2023-10-19,Application Form,Sign Up,81
80,9584,4,2024-01-24,Home Page,View,13
81,9584,4,2024-01-24,Product Page,Click,91
82,9584,4,2024-01-24,Application Form,Drop Off,76
83,367,9,2025-09-09,Home Page,View,62
84,23752,2,2025-05-05,Home Page,View,40
85,23752,2,2025-05-05,Product Page,Click,100
86,23752,2,2025-05-05,Checkout,Purchase,212
87,22928,3,2024-09-23,Home Page,View,111
88,22928,3,2024-09-23,Product Page,Click,123
89,22928,3,2024-09-23,Application Form,Sign Up,99
90,4492,2,2023-03-07,Home Page,View,87
91,14298,5,2025-11-14,Home Page,View,16
92,14298,5,2025-11-14,Product Page,Click,125
93,14298,5,2025-11-14,Checkout,Purchase,148
94,13973,8,2025-07-19,Home Page,View,101
95,8137,4,2023-10-14,Home Page,View,92
96,8137,4,2023-10-14,Product Page,Click,105
97,8137,4,2023-10-14,Application Form,Drop Off,59
98,5082,2,2024-09-15,Home Page,View,60
99,5082,2,2024-09-15,Product Page,Click,152
100,5082,2,2024-09-15,Application Form,Drop Off,79
101,9915,6,2025-08-08,Home Page,View,89
102,12917,3,2024-12-25,Home Page,View,55
103,12917,3,2024-12-25,Product Page,Click,22
104,12917,3,2024-12-25,Application Form,Drop Off,66
105,8668,2,2025-10-19,Home Page,View,64
106,19653,1,2023-01-31,Home Page,View,41
107,19653,1,2023-01-31,Product Page,Click,65
108,19653,1,2023-01-31,Checkout,Purchase,599
109,16325,3,2025-03-12,Home Page,View,55
110,16325,3,2025-03-12,Product Page,Click,165
111,16325,3,2025-03-12,Application Form,Drop Off,72
112,478,1,2024-11-08,Home Page,View,11
113,478,1,2024-11-08,Product Page,Click,64
114,478,1,2024-11-08,Application Form,Drop Off,61
115,7414,2,2024-04-25,Home Page,View,29
116,7414,2,2024-04-25,Product Page,Click,88
117,7414,2,2024-04-25,Application Form,Drop Off,51
118,6486,4,2023-02-04,Home Page,View,47
119,15430,4,2025-11-28,Home Page,View,110
120,8737,8,2025-06-09,Home Page,View,22
121,8737,8,2025-06-09,Product Page,Click,141
122,8737,8,2025-06-09,Application Form,Drop Off,62
123,20869,3,2024-06-05,Home Page,View,81
124,19106,8,2023-11-01,Home Page,View,36
125,19106,8,2023-11-01,Product Page,Click,166
126,19106,8,2023-11-01,Checkout,Purchase,541
127,14998,8,2023-12-06,Home Page,View,68
128,19746,7,2024-11-26,Home Page,View,94
129,19746,7,2024-11-26,Product Page,Click,74
130,19746,7,2024-11-26,Checkout,Purchase,272
131,24752,8,2024-02-25,Home Page,View,89
132,24752,8,2024-02-25,Product Page,Click,54
133,24752,8,2024-02-25,Application Form,Drop Off,59
134,91,4,2023-06-30,Home Page,View,61
135,91,4,2023-06-30,Product Page,Click,31
136,91,4,2023-06-30,Application Form,Drop Off,62
137,7421,2,2023-12-22,Home Page,View,14
138,2983,1,2023-06-29,Home Page,View,55
139,2983,1,2023-06-29,Product Page,Click,15
140,2983,1,2023-06-29,Checkout,Purchase,549
141,9941,2,2024-07-18,Home Page,View,37
142,9941,2,2024-07-18,Product Page,Click,120
143,9941,2,2024-07-18,Checkout,Purchase,573
144,19664,7,2024-08-02,Home Page,View,48
145,19664,7,2024-08-02,Product Page,Click,159
146,19664,7,2024-08-02,Checkout,Purchase,183
147,17837,3,2024-11-11,Home Page,View,58
