review_id,customer_id,product_id,review_date,review,rating
1,15984,7,2024-01-09,Easy to use,4
2,126,7,2024-08-16,It is okay,3
3,24902,9,2023-02-03,Customer service was poor,2
4,1603,9,2025-06-22,Not bad,3
5,15341,2,2024-11-22,Decent product,3
6,15763,2,2023-05-27,Very disappointing,1
7,4136,8,2024-01-27,Very satisfied,5
8,12892,2,2023-01-29,Decent product,3
9,22947,3,2024-10-20,Very reliable,5
10,20344,5,2025-07-12,Service was fine,3
11,167,5,2024-09-06,Happy with this product,4
12,3139,1,2024-05-19,Interest rate too high,1
13,2427,4,2024-11-26,Great product,4
14,4710,4,2023-08-10,Decent product,3
15,9015,3,2023-02-19,Excellent service,4
16,23295,4,2024-09-25,Works perfectly,5
17,11907,1,2023-07-05,Great product,5
18,9816,2,2024-01-19,Very convenient,5
19,5243,2,2024-04-21,Works perfectly,5
20,15949,9,2023-12-17,Works as expected,3
21,5697,1,2023-07-03,Very satisfied,4
22,20591,8,2024-04-08,Works perfectly,4
23,14165,1,2024-02-24,Great product,5
24,22609,3,2024-03-18,Very reliable,4
25,13195,8,2025-12-13,Good interest rate,5
26,16489,4,2024-09-10,Very satisfied,4
27,22735,2,2025-04-05,Excellent service,4
28,21310,7,2024-11-27,Very convenient,5
29,10024,3,2024-08-17,Good interest rate,4
30,17708,4,2024-04-23,Good interest rate,4
31,5067,7,2024-05-05,Excellent service,4
32,15062,4,2024-03-04,Fair product,3
33,21665,4,2024-06-13,Very convenient,4
34,7265,2,2023-05-07,Happy with this product,5
35,24300,8,2025-03-07,Happy with this product,5
36,14182,1,2023-01-10,Easy to use,5
37,15693,2,2023-01-02,Easy to use,4
38,22496,1,2025-12-02,Works perfectly,5
39,22642,3,2025-03-20,No major issues,3
40,18848,4,2024-01-01,Great product,5
41,2303,4,2024-05-17,Great product,5
42,4019,1,2025-05-14,Very convenient,4
43,14347,4,2023-05-27,Very disappointing,1
44,22098,9,2023-04-13,Very disappointing,2
45,22724,9,2024-01-29,Great product,4
46,9512,4,2024-01-12,Very frustrating,2
47,7455,4,2025-05-13,Excellent service,5
48,20673,1,2025-12-26,Highly recommend,4
49,8448,9,2024-04-19,Excellent service,4
50,18248,7,2023-01-23,Very frustrating,2
51,5889,3,2023-01-02,Very convenient,4
52,21026,9,2025-11-12,Too many fees,2
53,16854,5,2023-06-05,Great product,4
54,8792,3,2025-03-30,Very disappointing,1
55,13337,4,2024-04-26,Great product,4
56,836,4,2025-09-28,Easy to use,4
57,19603,2,2024-04-09,Good interest rate,5
58,14065,3,2023-01-12,Very reliable,4
59,13983,3,2025-02-02,Great product,5
60,16483,7,2025-05-15,Decent product,3
61,21240,7,2025-06-12,Very disappointing,2
62,5123,6,2023-06-30,Great product,4
63,2486,2,2023-09-29,Average experience,3
64,7063,3,2025-12-16,Works perfectly,5
65,7578,4,2025-04-14,Very reliable,4
66,5193,4,2025-10-06,Easy to use,4
67,6825,3,2023-03-28,Great product,4
68,23764,2,2025-10-13,Nothing special,3
69,22040,6,2025-07-20,Good interest rate,4
70,8993,6,2023-06-22,Good interest rate,4
71,1813,1,2024-10-16,Very reliable,5
72,1806,2,2023-01-28,It is okay,3
73,1701,2,2024-11-02,Very convenient,4
74,3905,9,2024-05-18,Good interest rate,4
75,9082,7,2023-08-07,Fair product,3
76,13745,1,2023-09-27,Service was fine,3
77,14737,3,2023-09-03,Not worth it,2
78,11966,3,2025-08-24,Great product,4
79,6070,2,2023-05-15,It is okay,3
80,20891,6,2024-02-29,Service was fine,3
81,21180,1,2025-03-09,Acceptable overall,3
82,23859,2,2025-01-01,Happy with this product,4
83,19186,5,2023-07-30,Highly recommend,5
84,6374,6,2023-01-22,Very reliable,4
85,14904,4,2025-11-06,Works perfectly,4
86,10595,8,2025-09-10,Nothing special,3
87,9164,4,2025-07-13,Very satisfied,5
88,4947,4,2024-08-30,Great product,5
89,13798,7,2023-07-22,Easy to use,5
90,3505,6,2023-10-04,Very convenient,4
91,14152,2,2023-02-26,It is okay,3
92,13329,4,2023-02-05,Not satisfied,2
93,8701,8,2023-02-01,Happy with this product,4
94,23866,4,2025-04-20,Very reliable,5
95,5984,9,2023-04-20,Very disappointing,2
96,6204,2,2023-06-06,Happy with this product,5
97,2356,8,2024-04-08,Very reliable,5
98,9453,1,2023-12-03,Not satisfied,2
99,12545,9,2025-05-19,Very reliable,4
100,18649,4,2023-02-13,Very satisfied,5
101,12441,8,2024-07-27,Service was fine,3
102,24409,9,2023-07-04,Works as expected,3
103,9710,2,2025-03-25,Excellent service,4
104,5934,6,2024-04-03,Too many fees,1
105,24622,4,2023-07-01,Bad experience,1
106,13323,7,2024-05-21,Acceptable overall,3
107,3002,1,2023-02-16,Acceptable overall,3
108,15736,9,2023-11-16,Customer service was poor,2
109,12563,1,2024-11-22,Difficult to use,2
110,4995,9,2023-11-06,Works perfectly,4
111,1065,7,2023-01-24,Very convenient,4
112,13048,6,2024-02-01,Customer service was poor,1
113,1461,1,2024-12-24,Decent product,3
114,3574,3,2025-09-27,Works perfectly,4
115,22139,8,2025-06-06,Not satisfied,2
116,3901,4,2024-07-03,Very reliable,4
117,1040,4,2025-11-03,Easy to use,5
118,1155,1,2024-01-06,Not satisfied,1
119,16442,4,2025-10-28,Great product,4
120,5796,3,2024-07-15,Easy to use,4
121,4724,2,2023-04-17,It is okay,3
122,22317,7,2025-11-25,Very reliable,4
123,20311,2,2025-03-07,Not worth it,1
124,12900,5,2025-03-03,It is okay,3
125,10653,8,2025-04-01,Great product,4
126,14698,5,2023-01-25,Excellent service,4
127,4932,3,2023-02-05,It is okay,3
128,9466,4,2025-08-11,Excellent service,4
129,24701,8,2024-12-26,Not worth it,2
130,16393,9,2024-04-15,Very disappointing,1
131,18649,3,2023-10-05,It is okay,3
132,12560,1,2025-12-17,Very disappointing,2
133,14275,3,2024-02-28,Fair product,3
134,2432,5,2024-06-28,Difficult to use,2
135,12264,3,2024-01-20,No major issues,3
136,13391,2,2025-12-15,Not satisfied,2
137,19281,5,2023-07-08,Excellent service,5
138,22458,9,2025-02-22,It is okay,3
139,11309,2,2025-04-29,Highly recommend,4
140,16938,2,2025-05-10,Fair product,3
141,22336,2,2023-06-23,Works as expected,3
142,8435,5,2023-08-20,Difficult to use,1
143,12357,4,2024-09-18,Good interest rate,5
144,12054,4,2025-06-13,Very frustrating,2
145,18634,5,2023-11-10,Too many fees,1
146,13659,7,2023-12-01,Excellent service,5
147,23039,8,2024-09-11,Great product,4
148,13632,1,2025-03-24,Very convenient,4
149,14211,4,2023-01-24,Works perfectly,4
150,11362,5,2025-09-19,No major issues,3
151,13897,3,2023-09-19,Bad experience,1
152,393,8,2025-11-04,Too many fees,1
153,22597,5,2024-01-11,Fair product,3
154,18791,8,2025-12-24,Service was fine,3
155,19501,3,2025-01-14,Very convenient,5
156,24660,7,2024-12-24,Easy to use,5
157,1534,9,2024-10-14,Very frustrating,2
158,21681,5,2024-02-01,Very convenient,5
159,7205,1,2023-09-14,Fair product,3
160,7908,3,2025-05-14,Excellent service,4
161,22933,4,2023-01-31,Very frustrating,1
162,16378,6,2025-11-14,Happy with this product,5
163,17473,3,2023-08-13,Highly recommend,5
164,24659,3,2024-03-30,Highly recommend,4
165,20854,7,2024-07-23,Excellent service,4
166,95,8,2024-05-04,Very convenient,5
167,5910,5,2024-06-12,Would not recommend,2
168,12233,8,2024-09-24,Happy with this product,4
169,15319,5,2024-05-27,Service was fine,3
170,1452,4,2024-10-01,Nothing special,3
171,15365,5,2024-06-20,Good interest rate,4
172,8503,6,2023-02-24,Very satisfied,4
173,4915,1,2024-05-02,Very convenient,5
174,4928,5,2025-11-03,Difficult to use,2
175,3121,4,2024-11-17,No major issues,3
176,24603,8,2025-02-04,It is okay,3
177,2749,8,2024-06-10,Very disappointing,1
178,12231,2,2024-01-16,Customer service was poor,1
179,22781,9,2025-06-22,Excellent service,4
180,9780,7,2025-03-23,Too many fees,1
181,13461,9,2025-07-23,Nothing special,3
182,21379,6,2023-05-04,Great product,5
183,10344,5,2024-04-24,Acceptable overall,3
184,24318,9,2025-12-03,Happy with this product,4
185,2160,7,2023-12-24,Good interest rate,4
186,15827,3,2023-12-02,Not worth it,2
187,15433,8,2023-03-27,Highly recommend,4
188,9573,5,2025-10-12,Happy with this product,5
189,8397,2,2024-01-30,Works perfectly,4
190,21500,4,2025-06-29,Good interest rate,4
191,8295,6,2024-11-06,Great product,5
192,18623,5,2023-11-20,Nothing special,3
193,22953,1,2024-01-11,Very frustrating,1
194,23902,4,2023-03-02,Interest rate too high,2
195,68,1,2023-01-30,Great product,5
196,24818,2,2023-02-01,Nothing special,3
197,22814,7,2023-07-04,Customer service was poor,2
198,16304,9,2024-04-02,Very frustrating,1
199,4797,4,2023-04-16,Acceptable overall,3
200,18944,5,2023-02-15,Not bad,3
201,14475,8,2024-09-01,Very disappointing,2
202,19106,8,2025-04-03,No major issues,3
203,3739,6,2023-12-11,Works as expected,3
204,16060,2,2023-04-01,Interest rate too high,2
205,9089,6,2025-03-24,Too many fees,1
206,10579,1,2025-09-15,Happy with this product,4
207,8828,1,2024-06-11,Average experience,3
208,1036,1,2025-08-30,Easy to use,4
209,16382,2,2024-11-16,Not bad,3
210,11669,7,2024-08-26,Works perfectly,5
211,17805,5,2025-09-18,Happy with this product,4
212,5231,5,2025-02-25,Very convenient,5
213,12760,4,2025-06-07,Easy to use,4
214,21000,1,2025-01-15,Excellent service,5
215,4597,5,2024-08-01,Happy with this product,5
216,2837,4,2025-01-30,Very convenient,4
217,20206,1,2024-06-10,Acceptable overall,3
218,15747,6,2023-09-24,Good interest rate,4
219,14136,6,2023-06-26,No major issues,3
220,981,6,2025-06-24,Too many fees,2
221,588,4,2025-06-14,Not satisfied,1
222,17939,1,2023-03-26,Happy with this product,4
223,12554,5,2023-09-20,Excellent service,4
224,23609,3,2024-11-05,Not bad,3
225,21789,6,2023-09-21,Highly recommend,5
226,7163,4,2023-06-19,Happy with this product,4
227,4537,3,2023-10-07,Very satisfied,4
228,21514,8,2024-04-03,Decent product,3
229,3891,1,2025-04-11,Service was fine,3
230,15792,2,2023-01-31,Great product,5
231,23271,3,2024-11-15,Works as expected,3
232,18737,5,2024-06-29,Nothing special,3
233,221,8,2025-02-25,Happy with this product,4
234,11054,2,2025-01-19,Very convenient,5
235,1564,5,2024-11-27,Fair product,3
236,19325,3,2025-01-26,Fair product,3
237,7213,4,2023-06-27,Customer service was poor,2
238,5383,8,2024-08-24,Too many fees,2
239,10825,3,2023-03-26,Would not recommend,2
240,7970,7,2025-01-29,Very reliable,4
241,1584,3,2024-02-27,No major issues,3
242,19756,5,2023-10-05,Not worth it,1
243,4808,6,2025-03-19,Highly recommend,5
244,10055,2,2023-09-25,Very disappointing,1
245,19300,6,2024-02-28,Excellent service,4
246,20902,7,2024-11-24,Average experience,3
247,558,7,2023-03-20,Not worth it,2
248,10191,9,2023-01-19,Service was fine,3
249,8314,7,2025-11-02,Easy to use,5
250,5480,6,2023-05-04,Happy with this product,5
251,8587,4,2023-03-04,Good interest rate,5
252,22084,6,2023-12-30,Happy with this product,5
253,2701,9,2025-05-04,Highly recommend,4
254,15966,6,2024-09-19,Very frustrating,2
255,584,9,2024-10-31,Not worth it,2
256,20294,7,2024-10-16,Happy with this product,4
