customer_id,city_id,age,gender,marital_status,profession,religion,education_level,income,household_size
1,148,23,Male,Single,Student,Hindu,Bachelor,15653,5
2,253,64,Male,Married,Homemaker,None,High School,57320,4
3,89,56,Female,Single,Working,Christian,Bachelor,82847,5
4,44,56,Female,Married,Working,Muslim,Master,63825,4
5,264,22,Male,Married,Working,Christian,Master,55087,3
6,14,56,Female,Single,Working,Muslim,Bachelor,47039,3
7,284,30,Female,Divorced,Working,None,Bachelor,54944,4
8,57,72,Male,Married,Retired,Hindu,High School,27114,2
9,99,39,Female,Divorced,Homemaker,Hindu,Bachelor,52127,5
10,23,81,Female,Single,Retired,Muslim,Bachelor,33232,1
11,234,88,Female,Single,Retired,Hindu,Master,32290,3
12,210,52,Female,Single,Working,Hindu,Master,37991,3
13,87,49,Female,Married,Business Owner,Christian,Master,97438,4
14,125,79,Female,Married,Retired,Hindu,Master,33294,1
15,28,31,Female,Married,Working,None,PhD,46582,4
16,253,27,Female,Single,Unemployed,Muslim,High School,0,3
17,193,46,Female,Single,Working,Christian,Bachelor,59165,5
18,123,19,Male,Married,Student,Christian,Bachelor,11992,6
19,192,54,Female,Married,Homemaker,Hindu,High School,44349,3
20,63,69,Male,Married,Retired,Christian,PhD,12137,1
21,109,87,Male,Single,Retired,Christian,Master,32862,1
22,183,49,Male,Married,Working,Christian,Master,64505,3
23,252,50,Male,Married,Working,Muslim,Bachelor,65839,5
24,135,28,Female,Divorced,Business Owner,Muslim,Bachelor,154509,4
25,60,57,Male,Divorced,Working,None,Master,74330,4
26,271,43,Male,Married,Working,Hindu,High School,50525,3
27,137,68,Female,Single,Retired,Hindu,Bachelor,18927,1
28,99,67,Female,Single,Retired,Hindu,High School,26123,3
29,61,41,Female,Married,Working,Hindu,High School,64319,4
30,31,48,Male,Married,Working,Christian,PhD,38140,3
31,195,35,Female,Single,Working,Muslim,Bachelor,51313,3
32,5,59,Female,Married,Business Owner,Christian,High School,58322,4
33,71,29,Female,Married,Working,Muslim,High School,60148,4
34,203,27,Female,Married,Homemaker,Muslim,High School,65996,4
35,24,34,Male,Married,Homemaker,Christian,Master,75198,4
36,169,24,Male,Single,Student,Christian,Bachelor,18324,2
37,90,47,Male,Single,Working,Hindu,Master,63569,5
38,30,74,Female,Married,Retired,Muslim,High School,45540,3
39,104,79,Female,Single,Retired,Muslim,Bachelor,40628,1
40,33,32,Male,Single,Homemaker,Christian,Bachelor,98714,5
41,198,65,Male,Married,Retired,None,Bachelor,45304,3
42,144,77,Male,Married,Retired,Muslim,Bachelor,25086,1
43,180,88,Male,Married,Retired,Christian,Bachelor,27430,3
44,187,49,Male,Single,Homemaker,Hindu,Bachelor,72859,6
45,253,50,Male,Married,Business Owner,Hindu,PhD,95346,6
46,126,82,Male,Married,Retired,Other,PhD,3045,2
47,222,22,Male,Single,Student,Christian,Bachelor,10438,4
48,16,54,Female,Single,Working,Christian,High School,87172,3
49,284,28,Male,Single,Business Owner,Hindu,Bachelor,107630,4
50,153,34,Female,Widowed,Working,Muslim,Master,76591,6
51,99,57,Male,Married,Homemaker,Christian,High School,51400,6
52,169,52,Male,Married,Working,Muslim,Bachelor,47817,4
53,140,58,Female,Married,Homemaker,Christian,Master,62878,6
54,244,84,Male,Divorced,Retired,Hindu,Bachelor,30393,2
55,177,30,Female,Single,Working,Muslim,High School,46645,3
56,262,72,Female,Married,Retired,Muslim,Bachelor,25670,1
57,74,27,Male,Single,Unemployed,Muslim,Master,0,3
58,40,25,Male,Married,Student,Muslim,Bachelor,7538,3
59,195,45,Male,Married,Unemployed,Hindu,High School,0,3
60,87,81,Male,Married,Retired,Hindu,Bachelor,19251,3
61,13,42,Female,Single,Business Owner,Muslim,Bachelor,99731,4
62,37,58,Female,Single,Business Owner,Hindu,PhD,126936,5
63,176,32,Male,Widowed,Working,Muslim,Bachelor,53909,4
64,221,40,Male,Divorced,Working,Other,Bachelor,67653,6
65,30,65,Male,Married,Retired,Hindu,High School,5331,2
66,234,54,Female,Single,Homemaker,Muslim,PhD,74962,5
67,27,51,Male,Divorced,Business Owner,Other,High School,88592,5
68,173,47,Male,Married,Working,Hindu,Bachelor,62229,5
69,48,46,Female,Single,Working,Christian,Master,52881,3
70,230,55,Male,Married,Unemployed,Muslim,Bachelor,0,4
71,266,50,Female,Married,Working,Muslim,High School,69384,3
72,119,25,Male,Married,Student,Muslim,Bachelor,13585,6
73,184,76,Male,Married,Retired,Christian,Master,19426,2
74,78,69,Male,Married,Retired,None,High School,7271,2
75,196,80,Male,Single,Retired,Christian,Bachelor,23872,1
76,23,78,Male,Single,Retired,Hindu,High School,28529,2
77,23,66,Female,Single,Retired,Hindu,Bachelor,25931,2
78,271,68,Male,Single,Retired,Christian,High School,21920,3
79,178,37,Male,Married,Business Owner,Muslim,High School,88587,3
80,31,78,Male,Married,Retired,Muslim,Bachelor,11626,1
81,183,30,Male,Single,Working,Hindu,Bachelor,57710,4
82,162,66,Female,Widowed,Retired,Christian,Master,19692,3
83,276,84,Female,Married,Retired,Hindu,Master,19417,1
84,249,60,Male,Single,Homemaker,Hindu,High School,61787,4
85,60,31,Female,Married,Homemaker,Hindu,Master,41228,4
86,235,54,Male,Married,Working,Christian,Bachelor,63027,4
87,231,27,Female,Married,Unemployed,Muslim,Bachelor,0,5
88,49,23,Female,Single,Student,Muslim,Bachelor,19330,2
89,170,59,Male,Divorced,Working,Muslim,Master,66816,6
90,10,39,Female,Divorced,Unemployed,Christian,Bachelor,0,4
91,158,39,Male,Single,Homemaker,Christian,High School,57412,2
92,249,59,Male,Single,Working,Hindu,PhD,54193,5
93,203,24,Male,Divorced,Working,Hindu,Bachelor,71809,2
94,51,59,Male,Single,Business Owner,Muslim,High School,137562,4
95,169,72,Male,Married,Retired,Muslim,Master,21817,1
96,21,77,Female,Single,Retired,Christian,PhD,13820,1
97,43,62,Male,Single,Unemployed,Muslim,High School,0,4
98,204,21,Female,Single,Student,Muslim,Bachelor,13829,5
99,238,65,Female,Widowed,Retired,Muslim,High School,27874,2
100,121,26,Male,Single,Homemaker,Muslim,High School,77743,5
101,242,33,Male,Single,Working,Christian,Bachelor,58447,4
102,147,19,Female,Single,Student,Christian,Bachelor,13079,4
103,271,57,Male,Married,Working,Hindu,Bachelor,37974,3
104,268,62,Female,Married,Business Owner,Muslim,High School,128813,5
105,81,30,Male,Divorced,Working,Christian,High School,74246,6
106,281,21,Female,Married,Student,Hindu,Bachelor,12768,5
107,212,68,Male,Single,Retired,Christian,High School,25271,3
108,118,61,Male,Widowed,Homemaker,Christian,High School,59019,4
109,251,89,Male,Married,Retired,Christian,Bachelor,39547,3
110,155,30,Female,Married,Working,Hindu,PhD,74728,4
111,11,25,Male,Single,Working,None,High School,33550,2
112,170,71,Female,Single,Retired,Christian,Master,27599,2
113,246,43,Male,Married,Working,Christian,High School,54391,4
114,47,21,Male,Single,Student,Hindu,Bachelor,21073,5
115,161,75,Female,Single,Retired,Muslim,Bachelor,31767,1
116,267,51,Male,Single,Working,Muslim,High School,62118,5
117,71,67,Female,Single,Retired,Christian,High School,12946,3
118,218,88,Female,Single,Retired,Muslim,Bachelor,20992,2
119,19,86,Female,Divorced,Retired,Muslim,Master,-6276,3
120,50,45,Female,Single,Working,Christian,High School,48421,4
121,73,31,Female,Single,Homemaker,Christian,Bachelor,57911,4
122,224,73,Male,Married,Retired,Muslim,High School,35708,2
123,52,78,Female,Married,Retired,Muslim,PhD,37145,3
124,2,24,Male,Married,Working,Muslim,Master,48551,3
125,170,70,Female,Single,Retired,Christian,Master,30149,1
126,268,61,Female,Divorced,Homemaker,Christian,PhD,53722,6
127,171,64,Female,Widowed,Working,Other,Bachelor,46818,3
128,98,70,Male,Married,Retired,Christian,Bachelor,31442,2
129,210,70,Male,Married,Retired,Other,Master,29695,3
130,77,73,Male,Single,Retired,Hindu,Bachelor,32337,1
131,262,58,Female,Married,Working,Christian,Master,60660,3
132,79,44,Male,Married,Business Owner,Muslim,Bachelor,138225,3
133,275,84,Male,Married,Retired,Muslim,Bachelor,21995,2
134,53,43,Female,Married,Working,Hindu,Bachelor,75140,5
135,280,83,Male,Married,Retired,Muslim,Bachelor,18982,2
136,113,88,Female,Single,Retired,Christian,High School,20018,1
137,212,81,Female,Widowed,Retired,Hindu,High School,19581,2
138,143,69,Female,Single,Retired,Muslim,High School,31554,2
139,88,44,Female,Single,Working,Muslim,Master,67724,3
140,55,47,Female,Married,Homemaker,None,High School,63061,3
141,28,86,Female,Married,Retired,Hindu,High School,17173,3
142,17,31,Female,Married,Working,Hindu,High School,82977,2
143,163,82,Female,Divorced,Retired,Muslim,High School,24305,3
144,20,54,Male,Single,Business Owner,Hindu,Master,101021,4
145,20,64,Female,Married,Homemaker,Christian,Master,88322,4
146,189,49,Female,Married,Working,Muslim,Bachelor,62912,3
